article_id,article_url,source_issue_url,source_issue_label,source,year,volume,issue_number,title,authors,citation,pages,doi,pdf_url,publication_date,online_publication_date,submission_date,acceptance_date,article_type,topics,abstract_text,n_keywords
153146,"https://www.archivespp.pl/The-death-of-a-hospital-The-Krakow-Psychiatric-Institute-under-German-occupation,153146,0,2.html","https://www.archivespp.pl/Issue-4-2006,11559",4/2006 vol. 8,archive,2006,8,4,The death of a hospital: The Krakow Psychiatric Institute under German occupation,Anne-Marie Ullmann | Dov R. Aleksandrowicz,Arch Psych Psych 2006;8(4):45-49,45-49,,https://www.archivespp.pl/pdf-153146-77808?filename=The-death-of-a-hospital--.pdf,,,,,,,"The Nazi ideology considered mentally or physically impaired people to be useless individuals, life not worth living and a burden to the society. As the war approached the German Government took steps to rid the State of the burden and free the facilities for war related use. In August 1939 8 000 physically or mentally handicapped children were exterminated. Over 70 000 psychiatric patients were sent to converted mental hospitals, gassed and cremated between October 1939 and August 1941 (Aktion T4). The systematic extermination continued in occupied Poland (Aktion Brandt). The German administrator of The Babinski psychiatric hospital in Kobierzyn, Krakow, exterminated hundreds of patients by starving them systematically. In August 1941, 91 Jewish patients were transported from Kobierzyn to Zofiowka, Jewish Psychiatric Hospital in Otwock near Warsaw, Subsequently they were sent to Treblinka camp and murdered together with most of the staff. The remaining patients in Kobierzyn were either shot or deported to Auschwitz in June 1942 and killed there. The Babinski Hospital in Kobierzyn re-opened after the war; Zofiowka is abandoned but plans are made to turn it into a memorial center.",0
153149,"https://www.archivespp.pl/Sexual-behaviours-among-medical-students-of-the-Medical-University-of-Gdansk-,153149,0,2.html","https://www.archivespp.pl/Issue-4-2006,11559",4/2006 vol. 8,archive,2006,8,4,Sexual behaviours among medical students of the Medical University of Gdańsk,Karol Grabowski,Arch Psych Psych 2006;8(4):63-73,63-73,,https://www.archivespp.pl/pdf-153149-77811?filename=Sexual-behaviours-among-m.pdf,,,,,,,,0
153159,"https://www.archivespp.pl/Heritage-of-Antoni-Kepinski,153159,0,2.html","https://www.archivespp.pl/Issue-1-2-2007,11560",1-2/2007 vol. 9,archive,2007,9,1-2,Heritage of Antoni Kepinski,Jacek Bomba,Arch Psych Psych 2007;9(1-2):69-72,69-72,,https://www.archivespp.pl/pdf-153159-77822?filename=Heritage-of-Antoni-Kepins.pdf,,,,,,,,0
153160,"https://www.archivespp.pl/From-psychopathology-of-Ubermensch,153160,0,2.html","https://www.archivespp.pl/Issue-1-2-2007,11560",1-2/2007 vol. 9,archive,2007,9,1-2,From psychopathology of Ubermensch,Antoni Kepinski | Maria Orwid,Arch Psych Psych 2007;9(1-2):73-80,73-80,,https://www.archivespp.pl/pdf-153160-77823?filename=From-psychopathology-of-U.pdf,,,,,,,,0
153162,"https://www.archivespp.pl/Influence-of-impulsiveness-suicidality-and-serotonin-genes-on-treatment-outcomes,153162,0,2.html","https://www.archivespp.pl/Issue-3-2007,11561",3/2007 vol. 9,archive,2007,9,3,"Influence of impulsiveness, suicidality, and serotonin genes on treatment outcomes in alcohol dependence - a preliminary report",Marcin Wojnar | Kirk J. Brower | Andrzej Jakubczyk,Arch Psych Psych 2007;9(3):13-18,13-18,,https://www.archivespp.pl/pdf-153162-77825?filename=Influence-of-impulsivenes.pdf,,,,,,,"Aim: The aim of this study was to identify risk factors for relapse by investigating relationships among suicidality, impulsiveness, genetic markers of serotonin activity, and drinking outcomes in alcohol-dependent patients. Subjects and methods: Ninety alcohol dependent patients were followed for 12 months after a baseline assessment was performed, which included an evaluation of suicidality and impulsiveness. DNA samples were collected to investigate polymorphisms of genes involved in synthesis and activity of the serotonin system. Genetic polymorphisms and baseline measures of suicidality and impulsiveness were analysed as predictors of relapse. Results: Relapse rates were significantly higher among patients with a history of suicidal attempts recorded at the baseline assessment. Impulsiveness was not directly related to relapse. The genetic analysis showed that patients with the G/G genotype in the 5HTR1A gene polymorphism were more likely to relapse, whereas patients with the C/C genotype were more likely to abstain. Moreover, there was a strong trend for an association between the G/G genotype and a history of suicide attempts. Conclusions: Preliminary analyses suggested that a history of suicidality predicted relapse in alcoholic patients while controlling for other variables. Polymorphisms of genes involved in serotonergic function also contributed to a higher risk of relapse in alcohol dependent patients. These preliminary analyses as well as other potential relationships between the variables of interest require continued investigation with a larger sample size.",0
153170,"https://www.archivespp.pl/The-Auschwitz-reflections,153170,0,2.html","https://www.archivespp.pl/Issue-3-2007,11561",3/2007 vol. 9,archive,2007,9,3,The Auschwitz reflections,Antoni Kepinski,Arch Psych Psych 2007;9(3):79-81,79-81,,https://www.archivespp.pl/pdf-153170-77833?filename=The-Auschwitz-reflections.pdf,,,,,,,,0
153180,"https://www.archivespp.pl/Anus-Mundi,153180,0,2.html","https://www.archivespp.pl/Issue-4-2007,11562",4/2007 vol. 9,archive,2007,9,4,Anus Mundi,Antoni Kepinski | Jacek Bomba,Arch Psych Psych 2007;9(4):85-87,85-87,,https://www.archivespp.pl/pdf-153180-77843?filename=Anus-Mundi.pdf,,,,,,,,0
153190,"https://www.archivespp.pl/The-Nightmare,153190,0,2.html","https://www.archivespp.pl/Issue-1-2008,11563",1/2008 vol. 10,archive,2008,10,1,The Nightmare,Antoni Kepinski,Arch Psych Psych 2008;10(1):93-97,93-97,,https://www.archivespp.pl/pdf-153190-77853?filename=The-Nightmare.pdf,,,,,,,,0
153200,"https://www.archivespp.pl/Psychopathology-of-power,153200,0,2.html","https://www.archivespp.pl/Issue-2-2008,11564",2/2008 vol. 10,archive,2008,10,2,Psychopathology of power,Antoni Kepinski,Arch Psych Psych 2008;10(2):79-89,79-89,,https://www.archivespp.pl/pdf-153200-77863?filename=Psychopathology-of-power.pdf,,,,,,,,0
153210,"https://www.archivespp.pl/The-ramp-psychopathology-of-decision,153210,0,2.html","https://www.archivespp.pl/Issue-3-2008,11565",3/2008 vol. 10,archive,2008,10,3,The ramp: psychopathology of decision,Antoni Kepinski,Arch Psych Psych 2008;10(3):71-80,71-80,,https://www.archivespp.pl/pdf-153210-77873?filename=The-ramp--psychopathology.pdf,,,,,,,,0
153220,"https://www.archivespp.pl/KZ-syndrome,153220,0,2.html","https://www.archivespp.pl/Issue-4-2008,11566",4/2008 vol. 10,archive,2008,10,4,KZ-syndrome,Antoni Kepinski,Arch Psych Psych 2008;10(4):77-84,77-84,,https://www.archivespp.pl/pdf-153220-77884?filename=KZ-syndrome.pdf,,,,,,,,0
153264,"https://www.archivespp.pl/Memory-and-Beyond-Remembering-Prof-Adam-Szymusik,153264,0,2.html","https://www.archivespp.pl/Issue-1-2010,11571",1/2010 vol. 12,archive,2010,12,1,Memory and Beyond: Remembering Prof. Adam Szymusik,Dov R. Aleksandrowicz,Arch Psych Psych 2010;12(1):69-70,69-70,,https://www.archivespp.pl/pdf-153264-77929?filename=Memory-and-Beyond--Rememb.pdf,,,,,,,,0
153342,"https://www.archivespp.pl/Psychotherapy-supervision-in-Poland-and-beyond,153342,0,2.html","https://www.archivespp.pl/Issue-2-2012,11580",2/2012 vol. 14,archive,2012,14,2,Psychotherapy supervision in Poland and beyond,C. Edward Watkins | Jr. <span class='colorRed'>SURNAME</span>,Arch Psych Psych 2012;14(2):48,48,,https://www.archivespp.pl/pdf-153342-78007?filename=Psychotherapy-supervision.pdf,,,,,,,,0
154715,"https://www.archivespp.pl/Attitudes-towards-homosexuality-among-psychiatrists-in-India-a-survey-based-cross,154715,0,2.html","https://www.archivespp.pl/Issue-4-2016,1608",4/2016 vol. 18,archive,2016,18,4,"Attitudes towards homosexuality among psychiatrists in India: a survey-based cross-sectional study (vol 18, pg 32, 2016)",Reddy Srikanth | Reddy Pooja | Quadri Meraj,Arch Psych Psych 2016;18(4):75,75,,https://www.archivespp.pl/pdf-154715-80172?filename=Attitudes-towards-homosex.pdf,,,,,,,,0
154716,"https://www.archivespp.pl/FROM-EDITORS,154716,0,2.html","https://www.archivespp.pl/Issue-2-2017,2322",2/2017 vol. 19,archive,2017,19,2,FROM EDITORS,[Anonymous] [Anonymous],Arch Psych Psych 2017;19(2):5,5,,https://www.archivespp.pl/pdf-154716-80182?filename=FROM-EDITORS.pdf,,,,,,,,0
203757,"https://www.archivespp.pl/Editorial,203757,0,2.html","https://www.archivespp.pl/Issue-1-2025,15496",1/2025 vol. 27,archive,2025,27,1,Editorial,Joanna Rymaszewska,Arch Psych Psych 2025;27(1):5,5,10.12740/APP/203757,https://www.archivespp.pl/pdf-203757-124398?filename=Editorial.pdf,2025-04-13,2025-04-13,2025-04-06,2025-04-06,editorial,Addiction,"abstract2 abstract3 TOPICS Addiction ABSTRACT This issue of our journal offers a rich tapestry of research, spanning theoretical considerations, clinical investigations, and the impact of societal factors on mental health. Let’s begin with psychology and the Lipman's theoretical exploration of supervision in Ericksonian therapy, providing valuable insights into the supervisory relationship, contract frameworks, and the utilization of conscious and unconscious phenomena within this therapeutic approach. Zana et al. then shift our focus to the enduring legacy of historical trauma, examining the transgenerational transmission of Holocaust trauma in the Visegrad countries and highlighting the importance of addressing these long-term psychological effects. In a timely examination of the mental health effects of the recent pandemic, Turek et al. discuss their work on the creation and factor analysis of the ""P-COV 2020"" questionnaire, a tool intended to evaluate the neuropsychiatric symptoms following SARS-CoV-2 infection.",0
